split,clips,hours,parakeet_wer,parakeet_cer,parakeet_errors,parakeet_words,orukeet_wer,orukeet_cer,orukeet_errors,orukeet_words
gigaspeechbench_med_en,256,0.5099035937499998,3.485050466577795,1.7542020477338645,183,5251,3.180346600647496,1.551525317119195,167,5251
gigaspeechbench_mil_en,256,0.545510017361111,3.4268436082647407,1.5447229673480714,204,5953,3.0572820426675626,1.4028921160546357,182,5953
golos_crowd_ru,256,0.2929183506944444,2.83960092095165,0.6572769953051644,37,1303,2.9185867895545314,0.715962441314554,38,1302
golos_farfield_ru,256,0.18247008680555546,7.981220657276995,2.593286269989915,85,1065,9.099437148217635,3.0255006483215676,97,1066
lesbos_el,230,0.11232479166666667,94.78337754199823,71.14093959731544,1072,1131,93.54553492484527,71.65720185854414,1058,1131
monsoon_en_in,256,0.6956833333333333,4.122535440769106,1.920860545524395,253,6137,3.7803487045787842,1.8024074785503905,232,6137
nst_da_da,256,0.3674177777777777,26.487747957992998,12.505468863934665,681,2571,11.593640946103141,4.404258422050459,299,2579
nst_sv_sv,256,0.3503472222222222,16.565656565656564,6.865747830525779,328,1980,12.355600200904068,3.547728432873915,246,1991
voxpopuli_cs,256,0.6932252083333335,7.318880859736891,3.92727067393207,395,5397,7.394366197183099,3.983737541997233,399,5396
voxpopuli_es,256,0.8307443402777775,6.073136064090968,4.246347800161847,470,7739,6.203153269578703,4.3379189914391585,480,7738
voxpopuli_hu,256,0.7771814756944443,11.995696611081227,4.097020570508285,669,5577,11.047345767575322,3.8749664478660844,616,5576
voxpopuli_it,256,0.9244941145833333,11.368881331227985,8.714735966896765,936,8233,11.815421979356406,9.557785641085136,973,8235
voxpopuli_nl,256,0.5597956423611112,9.500183755972069,5.671247674488387,517,5442,9.558823529411764,5.626237772309908,520,5440
voxpopuli_pl,256,0.7600847395833334,6.481310992450746,3.4194700953627053,352,5431,6.241944393297735,3.4144377626248645,339,5431
voxpopuli_ro,256,0.8114564409722217,11.480037639467671,4.25432643366135,854,7439,11.199247109438021,4.158890397013913,833,7438
